file,asset_id,issuer,captured_at,hard,soft,orb_matches,result
A000__crop_10pct.jpg,A000,northcam,2026-04-21T06:48:00Z,False,True,42,SOFT VERIFIED
A000__original.jpg,A000,northcam,2026-04-21T06:48:00Z,True,False,0,VERIFIED
A000__platform_strip.jpg,A000,northcam,2026-04-21T06:48:00Z,False,True,108,SOFT VERIFIED
A000__recompress_q40.jpg,A000,northcam,2026-04-21T06:48:00Z,False,True,74,SOFT VERIFIED
A000__resize_640.jpg,A000,northcam,2026-04-21T06:48:00Z,False,True,52,SOFT VERIFIED
A000__screenshot_sim.jpg,A000,northcam,2026-04-21T06:48:00Z,False,True,54,SOFT VERIFIED
A001__crop_10pct.jpg,A001,Unknown,Unknown,False,False,0,UNKNOWN
A001__original.jpg,A001,Unknown,Unknown,False,False,0,UNKNOWN
A001__platform_strip.jpg,A001,Unknown,Unknown,False,False,0,UNKNOWN
A001__recompress_q40.jpg,A001,Unknown,Unknown,False,False,0,UNKNOWN
A001__resize_640.jpg,A001,Unknown,Unknown,False,False,0,UNKNOWN
A001__screenshot_sim.jpg,A001,Unknown,Unknown,False,False,0,UNKNOWN
A002__crop_10pct.jpg,A002,northcam,2026-05-18T19:12:00Z,False,True,54,SOFT VERIFIED
A002__original.jpg,A002,northcam,2026-05-18T19:12:00Z,True,False,0,VERIFIED
A002__platform_strip.jpg,A002,northcam,2026-05-18T19:12:00Z,False,True,132,SOFT VERIFIED
A002__recompress_q40.jpg,A002,northcam,2026-05-18T19:12:00Z,False,True,88,SOFT VERIFIED
A002__resize_640.jpg,A002,northcam,2026-05-18T19:12:00Z,False,True,72,SOFT VERIFIED
A002__screenshot_sim.jpg,A002,northcam,2026-05-18T19:12:00Z,False,True,76,SOFT VERIFIED
A003__crop_10pct.jpg,A003,northcam,2026-02-27T17:17:00Z,False,True,108,SOFT VERIFIED
A003__original.jpg,A003,northcam,2026-02-27T17:17:00Z,True,False,0,VERIFIED
A003__platform_strip.jpg,A003,northcam,2026-02-27T17:17:00Z,False,True,208,SOFT VERIFIED
A003__recompress_q40.jpg,A003,northcam,2026-02-27T17:17:00Z,False,True,149,SOFT VERIFIED
A003__resize_640.jpg,A003,northcam,2026-02-27T17:17:00Z,False,True,86,SOFT VERIFIED
A003__screenshot_sim.jpg,A003,northcam,2026-02-27T17:17:00Z,False,True,89,SOFT VERIFIED
A004__crop_10pct.jpg,A004,northcam,2026-03-11T18:30:00Z,False,True,79,SOFT VERIFIED
A004__original.jpg,A004,northcam,2026-03-11T18:30:00Z,True,False,0,VERIFIED
A004__platform_strip.jpg,A004,northcam,2026-03-11T18:30:00Z,False,True,180,SOFT VERIFIED
A004__recompress_q40.jpg,A004,northcam,2026-03-11T18:30:00Z,False,True,119,SOFT VERIFIED
A004__resize_640.jpg,A004,northcam,2026-03-11T18:30:00Z,False,True,83,SOFT VERIFIED
A004__screenshot_sim.jpg,A004,northcam,2026-03-11T18:30:00Z,False,True,85,SOFT VERIFIED
A005__crop_10pct.jpg,A005,Unknown,Unknown,False,False,0,UNKNOWN
A005__original.jpg,A005,Unknown,Unknown,False,False,0,UNKNOWN
A005__platform_strip.jpg,A005,Unknown,Unknown,False,False,0,UNKNOWN
A005__recompress_q40.jpg,A005,Unknown,Unknown,False,False,0,UNKNOWN
A005__resize_640.jpg,A005,Unknown,Unknown,False,False,0,UNKNOWN
A005__screenshot_sim.jpg,A005,Unknown,Unknown,False,False,0,UNKNOWN
A006__crop_10pct.jpg,A006,Unknown,Unknown,False,False,0,UNKNOWN
A006__original.jpg,A006,Unknown,Unknown,False,False,0,UNKNOWN
A006__platform_strip.jpg,A006,Unknown,Unknown,False,False,0,UNKNOWN
A006__recompress_q40.jpg,A006,Unknown,Unknown,False,False,0,UNKNOWN
A006__resize_640.jpg,A006,Unknown,Unknown,False,False,0,UNKNOWN
A006__screenshot_sim.jpg,A006,Unknown,Unknown,False,False,0,UNKNOWN
A007__crop_10pct.jpg,A007,northcam,2026-02-16T06:20:00Z,False,True,61,SOFT VERIFIED
A007__original.jpg,A007,northcam,2026-02-16T06:20:00Z,True,False,0,VERIFIED
A007__platform_strip.jpg,A007,northcam,2026-02-16T06:20:00Z,False,True,126,SOFT VERIFIED
A007__recompress_q40.jpg,A007,northcam,2026-02-16T06:20:00Z,False,True,93,SOFT VERIFIED
A007__resize_640.jpg,A007,northcam,2026-02-16T06:20:00Z,False,True,68,SOFT VERIFIED
A007__screenshot_sim.jpg,A007,northcam,2026-02-16T06:20:00Z,False,True,78,SOFT VERIFIED
A008__crop_10pct.jpg,A008,Unknown,Unknown,False,False,0,UNKNOWN
A008__original.jpg,A008,Unknown,Unknown,False,False,0,UNKNOWN
